BJD - 2454833, Corrected Flux
1944.830605015,1.000110385
1944.851036523,1.000298729
1944.871468232,1.000221140
1944.891899841,1.000261961
1944.912331449,0.999926276
1944.932763058,1.000378981
1944.953194667,1.000013668
1944.973626375,1.000067924
1944.994057983,1.000018578
1945.014489492,1.000058182
1945.055352808,1.000048622
1945.075784316,0.999947123
1945.096216024,1.000133633
1945.116647632,1.000193155
1945.137079140,1.000126231
1945.157510848,1.000145976
1945.177942356,0.999992394
1945.198374064,1.000186247
1945.218805672,1.000157009
1945.239237179,1.000054787
1945.259668887,1.000135108
1945.300532002,1.000187946
1945.320963709,1.000090689
1945.341395317,1.000174454
1945.361826824,1.000166222
1945.382258532,1.000136414
1945.402690139,1.000152954
1945.423121846,1.000076734
1945.443553353,1.000081227
1945.463984960,0.999975589
1945.484416667,1.000110777
1945.545711488,1.000267188
1945.566143095,1.000042111
1945.586574602,0.999926707
1945.607006308,0.999856940
1945.627437915,1.000073033
1945.647869522,0.999994306
1945.688732735,0.999938660
1945.709164441,1.000103261
1945.729595948,1.000162157
1945.750027554,0.999922849
1945.831753979,0.999682126
1945.852185585,0.999751188
1945.872617291,0.999795425
1945.893048797,0.999772445
1945.913480403,0.999878226
1945.933912109,0.999981833
1945.954343615,0.999954939
1945.974775221,0.999948916
1945.995206927,0.999994830
1946.117796560,0.999648716
1946.138228166,0.999599820
1946.158659771,0.999668010
1946.179091376,0.999729037
1946.199522982,0.999758561
1946.219954687,0.999855268
1946.240386192,0.999866382
1946.342544318,0.999811906
1946.362975823,1.000300360
1946.383407528,1.000167974
1946.403839133,1.000047237
1946.424270637,1.000120102
1946.444702342,1.000284325
1946.465133947,0.999978311
1946.485565452,1.000237516
1946.526428660,1.000109634
1946.546860365,1.000262555
1946.587723574,1.000386567
1946.608155178,1.000135588
1946.628586783,1.000289622
1946.649018387,0.999924746
1946.669449992,0.999928778
1946.689881596,1.000007418
1946.730744804,1.000169035
1946.771608113,1.000189139
1946.792039717,0.999994331
1946.812471221,0.999986081
1946.832902925,1.000016055
1946.853334529,1.000038135
1946.873766033,0.999912875
1946.894197737,0.999990793
1946.914629341,1.000184427
1946.935060845,1.000118317
1946.955492549,1.000558919
1947.016787360,0.999853752
1947.037218963,0.999939181
1947.057650667,0.999941501
1947.078082171,1.000024008
1947.098513774,0.999899800
1947.118945378,0.999793912
1947.139376981,0.999715608
1947.159808585,0.999970529
1947.180240288,0.999999654
1947.200671792,1.000124615
1947.221103495,1.000013319
1947.261966602,0.999818610
1947.282398305,0.999943148
1947.302829908,0.999793697
1947.323261411,0.999811464
1947.343693115,0.999966273
1947.364124718,0.999902739
1947.384556221,1.000084857
1947.404987924,0.999966246
1947.425419527,1.000101903
1947.445851230,1.000195346
1947.466282733,1.000007548
1947.507146039,0.999926552
1947.527577542,0.999889061
1947.548009145,0.999875490
1947.568440847,1.000028800
1947.588872350,1.000043002
1947.609303953,0.999879307
1947.629735656,1.000043508
1947.650167159,1.000079533
1947.691030464,0.999733017
1947.752325272,0.999742081
1947.772756874,0.999734141
1947.793188477,0.999913727
1947.813620079,0.999848435
1947.834051682,0.999854298
1947.854483284,0.999847988
1947.874914887,1.000039587
1947.895346489,0.999978442
1947.915778092,0.999877704
1947.936209694,0.999870620
1948.017936203,0.999484219
1948.038367705,0.999448073
1948.058799308,0.999479238
1948.079231010,0.999743105
1948.099662512,0.999564163
1948.120094214,0.999717972
1948.140525816,0.999718820
1948.160957318,0.999749891
1948.242683826,1.000238684
1948.263115428,1.000317254
1948.283547030,1.000306699
1948.303978632,0.999918351
1948.324410234,0.999877956
1948.344841936,0.999787244
1948.365273438,0.999713707
1948.385705040,0.999823974
1948.406136742,1.000104405
1948.426568344,1.000159530
1948.487863049,1.000144002
1948.508294751,1.000426756
1948.528726352,1.000349132
1948.549157954,0.999934637
1948.569589556,0.999862032
1948.590021157,1.000323971
1948.610452659,1.000028461
1948.630884361,1.000093244
1948.651315962,0.999813134
1948.671747464,0.999867903
1948.753473970,0.999854417
1948.773905572,0.999773298
1948.794337273,0.999776789
1948.814768775,0.999962994
1948.835200376,1.000468148
1948.855632078,0.999919827
1948.876063579,0.999867633
1948.896495181,0.999887659
1948.916926882,0.999836894
1948.937358484,1.000128719
1948.978221686,0.999668861
1948.998653288,0.999699974
1949.019084889,0.999986120
1949.039516490,0.999772203
1949.059948092,0.999845983
1949.080379793,0.999726365
1949.100811294,0.999916453
1949.121242896,1.000114126
1949.141674597,1.000002824
1949.162106098,1.000080553
1949.223400902,1.000082124
1949.243832603,0.999831409
1949.264264105,0.999982710
1949.284695706,0.999923792
1949.305127407,0.999789500
1949.325558908,0.999916470
1949.345990609,0.999918541
1949.366422211,1.000183367
1949.386853712,1.000425867
1949.468580216,0.999840494
1949.489011818,1.000020727
1949.509443419,0.999894517
1949.550306621,1.000119176
